Section,Title,Session,Days,Start time,End time,Status,Unit
002-SEM (1414),EAP101B,7W2,TuTh,10.00,11.15,14,2
003-SEM (1439),EAP101B,7W2,TuTh,10.00,11.15,14,2
004-SEM (1440),EAP101B,7W2,MoWe,11.45,13.00,14,2
005-SEM (1441),EAP101B,7W2,MoWe,10.00,11.15,14,2
006-SEM (1442),EAP101B,7W2,TuTh,13.15,14.30,14,2
007-SEM (1443),EAP101B,7W2,MoWe,08.30,09.45,14,2
008-SEM (1444),EAP101B,7W2,TuTh,08.30,09.45,14,2
009-SEM (1445),EAP101B,7W2,MoWe,13.15,14.30,14,2
010-SEM (1446),EAP101B,7W2,MoWe,14.45,16.00,14,2
011-SEM (1447),EAP101B,7W2,MoWe,13.15,14.30,14,2
012-SEM (1448),EAP101B,7W2,MoWe,14.45,16.00,14,2
013-SEM (1449),EAP101B,7W2,TuTh,13.15,14.30,14,2
014-SEM (1450),EAP101B,7W2,TuTh,16.15,17.30,14,2
015-SEM (1451),EAP101B,7W2,MoWe,08.30,09.45,14,2
016-SEM (1452),EAP101B,7W2,TuTh,08.30,09.45,14,2
017-SEM (1453),EAP101B,7W2,MoWe,11.45,13.00,14,2
018-SEM (1454),EAP101B,7W2,TuTh,11.45,13.00,14,2
019-SEM (1455),EAP101B,7W2,MoWe,11.45,13.00,14,2
020-SEM (1456),EAP101B,7W2,TuTh,11.45,13.00,14,2
021-SEM (1457),EAP101B,7W2,TuTh,11.45,13.00,14,2
022-SEM (1458),EAP101B,7W2,TuTh,14.45,16.00,14,2
023-SEM (1459),EAP101B,7W2,MoWe,10.00,11.15,14,2
024-SEM (1460),EAP101B,7W2,MoWe,11.45,13.00,14,2
025-SEM (1461),EAP101B,7W2,TuTh,14.45,16.00,14,2
026-SEM (1462),EAP101B,7W2,TuTh,16.15,17.30,14,2
004-SEM (1056),ECON101,7W2,MoWe,08.30,11.00,32,4
005-SEM (1059),ECON101,7W2,TuTh,08.30,11.00,32,4
006-SEM (1090),ECON101,7W2,TuTh,12.00,14.30,32,4
002-SEM (1093),ECON201,7W2,MoWe,12.00,14.30,32,4
001-SEM (1118),ECON202,7W2,MoWe,14.45,17.15,32,4
001-LEC (1061),ECON212,7W2,TuTh,08.30,11.00,18,4
001-SEM (1407),ECON302,7W2,MoWe,14.45,17.15,18,4
002-SEM (1311),ENVIR101,7W2,MoTuWeTh,08.30,09.45,32,4
001-SEM (1376),ENVIR102,7W2,TuTh,12.00,14.30,32,4
001-SEM (1381),ENVIR202,7W2,TuTh,12.00,14.30,25,4
001-SEM (1395),ENVIR203,7W2,MoWe,14.45,17.15,25,4
001-SEM (1406),ENVIR302,7W2,MoWe,14.45,17.15,18,4
001-SEM (1382),ENVIR304,7W2,MoWe,12.00,14.30,25,4
005-SEM (1199),ETHLDR201,7W2,We,15.15,17.45,18,4
006-SEM (1198),ETHLDR201,7W2,MoWe,12.00,14.30,18,4
007-SEM (1201),ETHLDR201,7W2,TuTh,12.00,14.30,18,4
008-SEM (1202),ETHLDR201,7W2,TuTh,14.45,17.15,18,4
002-SEM (1123),ETHLDR202,7W2,TuTh,14.45,17.15,18,4
001-SEM (1048),ETHLDR390,7W2,TuTh,14.45,17.15,18,4
002-SEM (1074),GCHINA301,7W2,MoWe,12.00,14.30,18,4
001-SEM (1050),GCULS105,7W2,MoWe,08.30,11.00,18,4
001-SEM (1099),GCULS226,7W2,TuTh,12.00,14.30,18,4
